                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.614,                 3.8522,                 4.3841,                0.00281,                0.09028,                0.00314,                0.00098,                 4.0091,                  3.702,                 4.0869,                 0.0829,                 0.0019,                 0.0019
                      1,                 3.4193,                 3.2091,                 4.1925,                0.00281,                0.09028,                0.00266,                0.00081,                 3.9651,                 3.6288,                  4.047,               0.064514,              0.0035139,              0.0035139
                      2,                 3.2771,                 2.6824,                  3.844,                0.00278,                0.09028,                0.00323,                0.00119,                 3.9627,                 3.6919,                 4.0433,               0.045732,              0.0047318,              0.0047318
                      3,                 3.0099,                 2.4263,                 3.5667,                 0.0028,                0.09028,                0.00332,                0.00092,                 3.9716,                 3.7721,                 4.0559,               0.026554,              0.0055537,              0.0055537
                      4,                 2.6744,                 2.2115,                 3.2924,                0.00274,                0.08854,                0.00267,                0.00077,                 3.9719,                 3.8554,                 4.0692,              0.0069796,              0.0059796,              0.0059796
                      5,                  2.441,                 2.0015,                 3.0128,                0.00267,                0.08681,                0.00275,                0.00082,                 3.9239,                 3.8497,                 4.0645,                0.00505,                0.00505,                0.00505
                      6,                 2.2634,                 1.8268,                 2.7879,                0.46623,                0.35477,                 0.4023,                0.24898,                 2.9816,                 2.9022,                 3.4201,                0.00505,                0.00505,                0.00505
                      7,                 1.9754,                 1.6424,                 2.5625,                0.64815,                0.65534,                0.66211,                0.38356,                 2.1276,                 1.7793,                  2.721,                0.00406,                0.00406,                0.00406
                      8,                 1.8277,                 1.5209,                 2.4074,                 0.7306,                0.75808,                 0.7676,                0.49197,                  1.778,                 1.4859,                 2.4011,                0.00307,                0.00307,                0.00307
                      9,                 1.6956,                 1.4163,                 2.2738,                 0.7121,                0.77024,                0.76283,                0.46497,                 1.8645,                 1.4757,                 2.3845,                0.00208,                0.00208,                0.00208
